Date,Product_ID,Product_Category,Sales_Quantity,Price_per_Unit,Revenue,Product_Name,Month
2024-01-01,P012,Electronics,11,299.27,3890.51,Smartphone,1
2024-01-02,P038,Electronics,1,423.22,846.44,Headphones,1
2024-01-03,P042,Clothing,17,407.71,7746.49,Dress,1
2024-01-04,P014,Furniture,9,330.57,3636.27,Chair,1
2024-01-05,P012,Electronics,4,408.44,2042.2,Smartphone,1
2024-01-06,P042,Clothing,8,290.08,2610.72,Dress,1
2024-01-07,P002,Clothing,5,7.3,43.8,Jeans,1
2024-01-08,P047,Furniture,15,25.43,432.31,Sofa,1
2024-01-09,P023,Groceries,17,490.01,9310.19,Vegetables,1
2024-01-10,P014,Furniture,7,76.77,614.16,Chair,1
2024-01-11,P013,Groceries,6,205.24,1436.68,Rice,1
2024-01-12,P048,Clothing,4,467.24,2336.2,T-Shirt,1
2024-01-13,P011,Electronics,13,101.54,1523.1,Tablet,1
2024-01-14,P016,Toys,9,422.68,4226.8,Lego Set,1
2024-01-15,P042,Clothing,14,410.04,6560.64,Dress,1
2024-01-16,P017,Electronics,8,493.23,4439.07,Smartwatch,1
2024-01-17,P031,Clothing,6,144.43,1011.01,Jacket,1
2024-01-18,P018,Furniture,9,161.09,1771.99,Bed,1
2024-01-19,P032,Groceries,8,451.92,4067.28,Milk,1
2024-01-20,P002,Clothing,15,120.87,2054.79,Jeans,1
2024-01-21,P012,Electronics,8,276.21,2485.89,Smartphone,1
2024-01-22,P018,Furniture,2,355.14,1065.42,Bed,1
2024-01-23,P045,Toys,7,139.58,1116.64,Doll,1
2024-01-24,P013,Furniture,17,469.51,8920.69,Table,1
2024-01-25,P023,Groceries,14,334.52,5352.32,Vegetables,1
2024-01-26,P013,Furniture,6,28.33,198.31,Table,1
2024-01-27,P045,Toys,6,72.19,505.33,Doll,1
2024-01-28,P017,Electronics,11,99.44,1292.72,Smartwatch,1
2024-01-29,P002,Clothing,2,126.25,378.75,Jeans,1
